Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:53.373416 +0000 UTC,192.168.0.3,52860,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,12000,221333,397000,159025,66000,329250,487000,182874,1328000,1328000,1328000,1328000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,191000,0
2025-02-18 16:57:53.371857 +0000 UTC,192.168.0.3,52622,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,41000,489000,1666000,613841,193000,727750,1642000,631712,2934000,2934000,2934000,2934000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,5000,0
2025-02-18 16:57:53.372033 +0000 UTC,192.168.0.3,52672,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,8000,589200,2048000,839027,84000,589000,2033000,828222,2948000,2948000,2948000,2948000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,107000,0
2025-02-18 16:57:53.372809 +0000 UTC,192.168.0.3,52816,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,368500,1204000,457741,175000,550750,1190000,464472,2211000,2211000,2211000,2211000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,48000,0
2025-02-18 16:57:53.372292 +0000 UTC,192.168.0.3,52730,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,464000,2148000,829604,177000,686250,2131000,963646,2784000,2784000,2784000,2784000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,126000,0
2025-02-18 16:57:53.372042 +0000 UTC,192.168.0.3,52674,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,9000,561166,2380000,913050,173000,839000,2373000,1038601,3367000,3367000,3367000,3367000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,9000,0
2025-02-18 16:57:53.37397 +0000 UTC,192.168.0.3,52900,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,8000,292000,852000,335516,65000,292800,456000,152788,1467000,1467000,1467000,1467000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,1000,0
2025-02-18 16:57:53.373761 +0000 UTC,192.168.0.3,52886,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,356166,1381000,514237,94000,531750,1376000,573598,2137000,2137000,2137000,2137000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,35000,0
2025-02-18 16:57:53.374285 +0000 UTC,192.168.0.3,52918,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,6000,344400,952000,426861,20000,344200,999000,434227,1724000,1724000,1724000,1724000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,143000,0
2025-02-18 16:57:53.373621 +0000 UTC,192.168.0.3,52866,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,6000,482200,1477000,586916,126000,482800,1468000,555135,2417000,2417000,2417000,2417000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,205000,0
