Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:35.541943 +0000 UTC,192.168.0.190,40874,172.18.0.2,80,6,7,523,5,14171,52,74,203,56,52,2834,7292,3811,27000,7900400,39280000,17541756,28000,13113666,39242000,22627810,3225031000,103000,19751000,39399000,27786468,3185529000,3185529000,3185529000,0,3,261,2,7085,1,2,0,0,372,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.249881 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002955000,0,0,0,0,1000947000,1000985000,1001007000,33045,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:38.726513 +0000 UTC,192.168.0.190,40880,172.18.0.2,80,6,8,569,6,15809,52,71,197,50,52,2634,7292,3628,4000,6503833,38834000,15838499,9000,9724500,38797000,19381680,3796546000,65000,19511500,38958000,27501504,3757523000,3757523000,3757523000,0,4,284,3,7904,1,3,0,0,424,320,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:42.488808 +0000 UTC,192.168.0.190,48944,172.18.0.2,80,6,8,569,6,15810,52,71,197,50,52,2635,7292,3628,17000,5557500,33175000,13529768,17000,8310500,33139000,16552345,4173582000,66000,16672500,33279000,23485137,4140237000,4140237000,4140237000,0,4,284,3,7905,1,3,0,0,424,320,3762295000,0,Benign,req,wordpress,NA
2025-03-04 14:27:46.661532 +0000 UTC,192.168.0.190,48954,172.18.0.2,80,6,6,464,4,705,52,77,196,58,52,176,541,243,29000,99250,188000,65784,69000,111000,153000,59396,2624372000,90000,198500,307000,153442,2623975000,2623975000,2623975000,0,3,232,2,352,1,1,0,0,320,216,4172724000,0,Benign,req,wordpress,NA
2025-03-04 14:27:49.242090 +0000 UTC,192.168.0.190,48956,172.18.0.2,80,6,8,569,6,15816,52,71,197,50,52,2636,7292,3627,17000,7113666,42453000,17312693,17000,10633250,42405000,21181187,3853191000,98000,21341000,42584000,30042138,3810509000,3810509000,3810509000,0,4,284,3,7908,1,3,0,0,424,320,2580558000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.093875 +0000 UTC,192.168.0.190,47248,172.18.0.2,80,6,6,464,4,705,52,77,196,58,52,176,541,243,43000,138000,340000,136129,107000,191000,275000,118793,3543446000,89000,276000,463000,264457,3542894000,3542894000,3542894000,0,3,232,2,352,1,1,0,0,320,216,3851785000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.277751 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002481000,0,0,0,0,1000163000,1000827000,1001169000,575127,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:56.593717 +0000 UTC,192.168.0.190,47260,172.18.0.2,80,6,8,569,6,15810,52,71,197,50,52,2635,7292,3628,23000,7060000,42126000,17178780,22000,10555000,42063000,21005365,4568099000,94000,21180000,42266000,29820107,4525739000,4525739000,4525739000,0,4,284,3,7905,1,3,0,0,424,320,3499842000,0,Benign,req,wordpress,NA
2025-03-04 14:27:59.736662 +0000 UTC,192.168.0.1,50012,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001661000,0,0,0,0,1000109000,1000553666,1000958000,425934,1,196,0,0,0,0,0,0,784,0,6458911000,0,Benign,req,wordpress,NA
2025-03-04 14:28:01.137726 +0000 UTC,192.168.0.190,47266,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,18000,4651800,23097000,10311209,24000,7714333,23060000,13289748,4568533000,81000,11629500,23178000,16332045,4545274000,4545274000,4545274000,0,3,256,2,3839,1,2,0,0,372,268,4544009000,0,Benign,req,wordpress,NA
2025-03-04 14:28:04.776022 +0000 UTC,192.168.0.1,45278,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001189000,0,0,0,0,1000408000,1000594500,1000781000,263750,1,196,0,0,0,0,0,0,588,0,5039360000,0,Benign,req,wordpress,NA
2025-03-04 14:28:05.669111 +0000 UTC,192.168.0.190,44224,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,27000,7211800,35887000,16029929,34000,11984000,35839000,20659048,3884083000,60000,18029500,35999000,25412710,3848024000,3848024000,3848024000,0,3,256,2,3839,1,2,0,0,372,268,4531385000,0,Benign,req,wordpress,NA
2025-03-04 14:28:07.743550 +0000 UTC,192.168.0.1,57774,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001365000,0,0,0,0,1000169000,1000455000,1000854000,356206,1,196,0,0,0,0,0,0,784,0,2967528000,0,Benign,req,wordpress,NA
2025-03-04 14:28:09.518214 +0000 UTC,192.168.0.190,44240,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,19000,6796600,33754000,15069677,26000,11273333,33705000,19426418,2542391000,102000,16991500,33881000,23885359,2508408000,2508408000,2508408000,0,3,256,2,3839,1,2,0,0,372,268,3849103000,0,Benign,req,wordpress,NA
