Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 13:49:14.656774 +0000 UTC,192.168.0.5,63526,172.18.0.2,80,6,2,84,1,44,40,42,44,2,44,44,44,0,2056000,2056000,2056000,0,0,0,0,0,2056000,2056000,2056000,2056000,0,0,0,0,0,2,84,1,44,0,0,0,0,84,44,18000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.656801 +0000 UTC,192.168.0.5,63526,172.18.0.2,25,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,27000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658851 +0000 UTC,192.168.0.5,63526,172.18.0.2,1025,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,2050000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658872 +0000 UTC,192.168.0.5,63526,172.18.0.2,111,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,21000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658890 +0000 UTC,192.168.0.5,63526,172.18.0.2,21,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,18000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658908 +0000 UTC,192.168.0.5,63526,172.18.0.2,143,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,18000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658926 +0000 UTC,192.168.0.5,63526,172.18.0.2,554,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,18000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658943 +0000 UTC,192.168.0.5,63526,172.18.0.2,8888,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,17000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658959 +0000 UTC,192.168.0.5,63526,172.18.0.2,1723,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,16000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658977 +0000 UTC,192.168.0.5,63526,172.18.0.2,443,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,18000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.658994 +0000 UTC,192.168.0.5,63526,172.18.0.2,445,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,17000,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.659014 +0000 UTC,192.168.0.5,63526,172.18.0.2,256,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,20000,0,Attack,nmap,NA,exploit
