Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:39.253720 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,1,196,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,196,0,0,0,NA,NA,NA,NA
2025-03-04 14:27:40.920347 +0000 UTC,192.168.0.208,41492,172.18.0.2,80,6,8,569,6,15809,52,71,197,50,52,2634,7292,3628,70000,6854666,35699000,14174725,154000,9146250,34680000,17026893,2554655000,1489000,20564000,39639000,26976123,2513527000,2513527000,2513527000,0,4,284,3,7904,1,3,0,0,424,320,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:43.429275 +0000 UTC,192.168.0.208,33976,172.18.0.2,80,6,10,1039,7,6032,52,103,264,83,52,861,4687,1704,42000,5803000,19235000,8697658,88000,9922000,20968000,10937719,24744732000,981000,27233000,40621000,22736408,5005273000,12331516500,19657760000,-9223372036854775808,3,346,2,2010,3,3,0,0,528,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:46.537447 +0000 UTC,192.168.0.208,33982,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,24000,5305800,24356000,10663997,28000,8139333,23579000,13376873,3011776000,1358000,13264500,25171000,16838333,2985247000,2985247000,2985247000,0,3,262,2,3839,1,2,0,0,384,268,3108172000,0,Benign,req,wordpress,NA
2025-03-04 14:27:49.510157 +0000 UTC,192.168.0.208,33988,172.18.0.2,80,6,9,645,7,23100,52,71,197,47,52,3300,7292,3751,37000,5556000,35147000,13054376,170000,7371200,34143000,14969557,4028655000,1009000,19446000,37883000,26073855,3989763000,3989763000,3989763000,0,4,322,3,11550,1,4,0,0,500,372,2972710000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278469 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002701000,0,0,0,0,1000436000,1000900333,1001160000,403063,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.506392 +0000 UTC,192.168.0.208,35838,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,33000,6397000,28943000,12612722,1021000,10116333,27958000,15452321,2615982000,891000,15992500,31094000,21356746,2583997000,2583997000,2583997000,0,3,256,2,3839,1,2,0,0,372,268,3996235000,0,Benign,req,wordpress,NA
2025-03-04 14:27:56.088239 +0000 UTC,192.168.0.208,35846,172.18.0.2,80,6,7,523,5,14168,52,74,203,56,52,2833,7292,3810,17000,6736000,31443000,13823367,23000,10501666,30593000,17404991,2373689000,1375000,16840000,32305000,21870812,2340009000,2340009000,2340009000,0,3,261,2,7084,1,2,0,0,372,268,2581847000,0,Benign,req,wordpress,NA
2025-03-04 14:27:58.407291 +0000 UTC,192.168.0.208,35852,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,39000,8238333,23762000,11401524,162000,12151000,25704000,13528993,9766389000,771000,30727000,49430000,26208721,4669654000,4837104000,5004554000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,2319052000,0,Benign,req,wordpress,NA
2025-03-04 14:27:59.737490 +0000 UTC,192.168.0.1,50012,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999156000,999156000,999156000,0,0,0,0,0,3001888000,999156000,333052000,999156000,576862985,1001212000,1001366000,1001520000,217788,1,261,0,0,0,0,0,0,784,0,6459021000,0,Benign,req,wordpress,NA
2025-03-04 14:28:02.186301 +0000 UTC,192.168.0.208,35856,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,43000,5442200,24248000,10522268,664000,8333333,23507000,13141039,3412346000,1068000,13605500,26143000,17730702,3385135000,3385135000,3385135000,0,3,262,2,3839,1,2,0,0,384,268,3779010000,0,Benign,req,wordpress,NA
