Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:37.251629 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2002095000,0,0,0,0,1000914000,1001047500,1001181000,188797,1,196,0,0,0,0,0,0,588,0,0,0,NA,NA,NA,NA
2025-03-04 14:27:38.613485 +0000 UTC,192.168.0.143,45936,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,39000,5750000,16528000,7681270,257000,8399750,16169000,8957214,7827718000,726000,25427333,41056000,21641677,2745219000,3875718000,5006217000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:41.711289 +0000 UTC,192.168.0.143,45938,172.18.0.2,80,6,6,466,4,705,52,77,198,59,52,176,541,243,37000,1274250,3374000,1451364,819000,1708000,2597000,1257235,4751232000,905000,2548500,4192000,2324259,4746135000,4746135000,4746135000,0,3,233,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:46.418820 +0000 UTC,192.168.0.143,33768,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,45000,6711500,18360000,8638185,1227000,9817750,19034000,9835111,7285512000,808000,27273333,40743000,22920876,2199224000,3601846000,5004468000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,4707531000,0,Benign,req,wordpress,NA
2025-03-04 14:27:51.383449 +0000 UTC,192.168.0.143,33774,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,55000,7405000,33879000,14816144,360000,11432333,32633000,18366381,2320825000,829000,18512500,36196000,25008245,2283800000,2283800000,2283800000,0,3,256,2,3839,1,2,0,0,372,268,4964629000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278453 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1001152000,0,0,0,0,1001152000,1001152000,1001152000,0,1,196,0,0,0,0,0,0,392,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:04.776730 +0000 UTC,192.168.0.1,45278,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001532000,0,0,0,0,1000490000,1000766000,1001042000,390322,1,196,0,0,0,0,0,0,588,0,11498277000,0,Benign,req,wordpress,NA
2025-03-04 14:28:06.210441 +0000 UTC,192.168.0.97,34020,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,41000,5471600,25522000,11214667,192000,8570666,24663000,13940335,3400047000,793000,13679000,26565000,18223555,3372689000,3372689000,3372689000,0,3,262,2,3839,1,2,0,0,384,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:07.744355 +0000 UTC,192.168.0.1,57774,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999574000,999574000,999574000,0,0,0,0,0,3001526000,0,333191333,999574000,577104317,1000432000,1000976000,1001520000,769332,1,261,0,0,0,0,0,0,784,0,2967625000,0,Benign,req,wordpress,NA
2025-03-04 14:28:09.559724 +0000 UTC,192.168.0.97,34024,172.18.0.2,80,6,9,645,7,17313,52,71,197,47,52,2473,7292,3339,60000,7205000,46928000,17519074,380000,9724600,45836000,20189080,4400358000,966000,25217500,49469000,34296800,4349923000,4349923000,4349923000,0,4,322,3,8656,1,3,0,0,500,372,0,0,Benign,req,wordpress,NA
