Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:33.761137 +0000 UTC,192.168.0.115,38210,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,61000,6846333,22021000,9153042,42000,9928000,22856000,11203720,29868637000,2130000,27816000,41078000,22248674,5005834000,14892594500,24779355000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.250573 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003234000,0,0,0,0,1000990000,1001078000,1001171000,90603,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:38.766690 +0000 UTC,192.168.0.115,38222,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,7000,6303200,29847000,13167394,15000,9965666,28679000,16217104,2216648000,861000,15758000,30655000,21067539,2185132000,2185132000,2185132000,0,3,256,2,3839,1,2,0,0,372,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:40.947159 +0000 UTC,192.168.0.115,38238,172.18.0.2,80,6,8,569,6,15811,52,71,197,50,52,2635,7292,3628,49000,6023833,33154000,13297099,235000,8524000,32188000,15779251,4124655000,1029000,18071500,35114000,24101734,4088512000,4088512000,4088512000,0,4,284,3,7905,1,3,0,0,424,320,2180469000,0,Benign,req,wordpress,NA
2025-03-04 14:27:45.067090 +0000 UTC,192.168.0.115,57130,172.18.0.2,80,6,6,470,4,705,52,78,202,60,52,176,541,243,31000,1009500,2405000,998653,922000,1220000,1518000,421435,2707973000,794000,2019000,3244000,1732411,2703935000,2703935000,2703935000,0,3,235,2,352,1,1,0,0,320,216,4119931000,0,Benign,req,wordpress,NA
2025-03-04 14:27:47.748519 +0000 UTC,192.168.0.115,57144,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,63000,5234800,22886000,9881206,885000,8166333,22072000,12047140,2738648000,852000,13087000,25322000,17302902,2712474000,2712474000,2712474000,0,3,256,2,3839,1,2,0,0,372,268,2681429000,0,Benign,req,wordpress,NA
2025-03-04 14:27:50.483238 +0000 UTC,192.168.0.115,57156,172.18.0.2,80,6,6,470,4,705,52,78,202,60,52,176,541,243,48000,929500,1520000,673061,562000,788000,1014000,319612,3200491000,1384000,1859000,2334000,671751,3196773000,3196773000,3196773000,0,3,235,2,352,1,1,0,0,320,216,2734719000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278717 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003004000,0,0,0,0,1000631000,1001001333,1001624000,542463,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.679572 +0000 UTC,192.168.0.115,49322,172.18.0.2,80,6,6,470,4,705,52,78,202,60,52,176,541,243,64000,846750,1381000,569445,194000,594000,994000,565685,4794832000,1381000,1693500,2006000,441941,4791445000,4791445000,4791445000,0,3,235,2,352,1,1,0,0,320,216,3196334000,0,Benign,req,wordpress,NA
2025-03-04 14:27:58.439106 +0000 UTC,192.168.0.115,49338,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,405000,6771000,30952000,13521713,422000,10597666,29484000,16372438,2559121000,883000,16927500,32972000,22690349,2525266000,2525266000,2525266000,0,3,256,2,3839,1,2,0,0,372,268,4759534000,0,Benign,req,wordpress,NA
2025-03-04 14:27:59.737473 +0000 UTC,192.168.0.1,50012,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001539000,0,0,0,0,1000047000,1000513000,1001125000,553631,1,196,0,0,0,0,0,0,784,0,6458756000,0,Benign,req,wordpress,NA
2025-03-04 14:28:00.966063 +0000 UTC,192.168.0.115,49354,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,28000,6219000,27631000,11980503,1038000,9664000,26648000,14709185,2662382000,888000,15547500,30207000,20731663,2631287000,2631287000,2631287000,0,3,262,2,3839,1,2,0,0,384,268,2526957000,0,Benign,req,wordpress,NA
2025-03-04 14:28:04.776723 +0000 UTC,192.168.0.1,45278,239.255.255.250,1900,17,1,196,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,196,0,5039250000,0,Benign,req,wordpress,NA
2025-03-04 14:28:16.229230 +0000 UTC,192.168.0.109,47076,172.18.0.2,80,6,7,518,4,705,52,74,198,54,52,176,541,243,71000,595000,1089000,447721,179000,567000,955000,548714,2274311000,761000,1487500,2214000,1027426,2271336000,2271336000,2271336000,0,3,259,2,352,1,1,0,0,372,216,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:18.233499 +0000 UTC,192.168.0.1,59419,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999824000,999824000,999824000,0,0,0,0,0,3001966000,999824000,333274666,999824000,577248655,1000697000,1001071000,1001445000,528915,1,261,0,0,0,0,0,0,784,0,13456776000,0,Benign,req,wordpress,NA
2025-03-04 14:28:18.500158 +0000 UTC,192.168.0.109,47084,172.18.0.2,80,6,6,466,4,705,52,77,198,59,52,176,541,243,40000,686500,1176000,473097,218000,610500,1003000,555078,3295250000,793000,1373000,1953000,820243,3292504000,3292504000,3292504000,0,3,233,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:21.792283 +0000 UTC,192.168.0.109,47100,172.18.0.2,80,6,7,518,4,705,52,74,198,54,52,176,541,243,40000,603800,1063000,484625,127000,518000,909000,552957,4171976000,1063000,1509500,1956000,631446,4168957000,4168957000,4168957000,0,3,259,2,352,1,1,0,0,372,216,3292125000,0,Benign,req,wordpress,NA
2025-03-04 14:28:25.920384 +0000 UTC,192.168.0.109,59032,172.18.0.2,80,6,8,569,6,15813,52,71,197,50,52,2635,7292,3628,51000,7212333,40030000,16085225,106000,10269750,39246000,19320811,3943682000,828000,21637000,42446000,29428370,3900408000,3900408000,3900408000,0,4,284,3,7906,1,3,0,0,424,320,4128101000,0,Benign,req,wordpress,NA
