Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:31.584839 +0000 UTC,192.168.0.133,35632,172.18.0.2,80,6,9,987,9,6136,52,109,264,86,52,681,4687,1518,142000,19462666,87869000,34831382,938000,19331166,43741000,20458684,14746635000,1142000,52762333,116776000,58804774,5005510000,7294174000,9582838000,-9223372036854775808,3,329,3,2045,3,3,0,0,476,476,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.250721 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003005000,0,0,0,0,1000833000,1001001666,1001293000,253348,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.300188 +0000 UTC,192.168.0.133,37328,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,43000,10006000,47726000,21088762,565000,16113666,46742000,26525951,3061717000,764000,25015000,49266000,34296093,3011687000,3011687000,3011687000,0,3,262,2,3839,1,2,0,0,384,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:39.317978 +0000 UTC,192.168.0.133,37332,172.18.0.2,80,6,8,599,6,21460,52,74,203,52,52,3576,7292,3863,46000,7429000,40037000,15992300,99000,10434250,39235000,19209640,2659844000,936000,22287000,43638000,30194873,2615270000,2615270000,2615270000,0,4,299,3,10730,1,3,0,0,448,320,3017790000,0,Benign,req,wordpress,NA
2025-03-04 14:27:41.941644 +0000 UTC,192.168.0.133,37334,172.18.0.2,80,6,7,513,5,7679,52,73,193,52,52,1535,7292,3218,36000,7020400,33210000,14646410,84000,11111666,32392000,18433382,4430125000,836000,17551000,34266000,23638579,4395023000,4395023000,4395023000,0,3,256,2,3839,1,2,0,0,372,268,2623666000,0,Benign,req,wordpress,NA
2025-03-04 14:27:46.327299 +0000 UTC,192.168.0.133,38368,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,33000,6720666,18949000,9206929,24000,9841000,21395000,10883642,23795277000,914000,27540666,41384000,23065459,5005253000,11856327500,18707402000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,4385655000,0,Benign,req,wordpress,NA
2025-03-04 14:27:49.370243 +0000 UTC,192.168.0.133,38374,172.18.0.2,80,6,9,645,7,17299,52,71,197,47,52,2471,7292,3340,29000,5173428,32478000,12047949,33000,6871200,31492000,13770153,2462164000,905000,18107000,35309000,24327301,2425950000,2425950000,2425950000,0,4,322,3,8649,1,3,0,0,500,372,3042944000,0,Benign,req,wordpress,NA
2025-03-04 14:27:51.791831 +0000 UTC,192.168.0.133,38390,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,62000,7870800,37453000,16542239,62000,12531333,35102000,19582596,4865345000,983000,19677000,38371000,26437308,4825991000,4825991000,4825991000,0,3,262,2,3839,1,2,0,0,384,268,2421588000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278650 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002309000,0,0,0,0,1000138000,1000769666,1001989000,1056202,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:56.605935 +0000 UTC,192.168.0.133,41566,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,52000,7549500,21593000,10293656,161000,11128250,24597000,12281599,13516370000,696000,28932666,45297000,24556598,5005219000,6714786000,8424353000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,4814104000,0,Benign,req,wordpress,NA
