Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:29.996855 +0000 UTC,192.168.0.192,39848,172.18.0.2,80,6,7,523,5,14174,52,74,203,56,52,2834,7292,3812,59000,102323600,508418000,227014696,326000,169601666,507466000,292599297,4776322000,1001000,255809000,510617000,360352929,4264704000,4264704000,4264704000,0,3,261,2,7087,1,2,0,0,372,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:34.726879 +0000 UTC,192.168.0.192,47772,172.18.0.2,80,6,9,645,7,23094,52,71,197,47,52,3299,7292,3751,10000,6689428,42292000,15719440,13000,8650600,41517000,18375984,4165418000,2141000,23413000,44685000,30083150,4118592000,4118592000,4118592000,0,4,322,3,11547,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.250619 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003134000,0,0,0,0,1000811000,1001044666,1001428000,334622,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:38.856491 +0000 UTC,192.168.0.192,47778,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,56000,6852400,30219000,13075364,1083000,10456666,29138000,16178542,2741818000,1280000,17131000,32982000,22416699,2707556000,2707556000,2707556000,0,3,262,2,3839,1,2,0,0,384,268,4129612000,0,Benign,req,wordpress,NA
2025-03-04 14:27:41.552018 +0000 UTC,192.168.0.192,47784,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,79000,6868166,19626000,9208464,323000,10003250,21785000,10967043,19133925000,1304000,28074333,41710000,23185142,5005316000,9524851000,14044386000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,2695527000,0,Benign,req,wordpress,NA
2025-03-04 14:27:44.571226 +0000 UTC,192.168.0.192,37486,172.18.0.2,80,6,9,645,7,23100,52,71,197,47,52,3300,7292,3751,22000,7316142,48121000,18000031,26000,9796200,47159000,20890127,3388080000,1158000,25606500,50055000,34575400,3336867000,3336867000,3336867000,0,4,322,3,11550,1,4,0,0,500,372,3019208000,0,Benign,req,wordpress,NA
2025-03-04 14:27:47.926166 +0000 UTC,192.168.0.192,37490,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,39000,6462400,29621000,12953234,515000,10059666,28860000,16282207,3208866000,1068000,16156000,31244000,21337654,3176554000,3176554000,3176554000,0,3,262,2,3839,1,2,0,0,384,268,3354940000,0,Benign,req,wordpress,NA
2025-03-04 14:27:51.080841 +0000 UTC,192.168.0.192,37492,172.18.0.2,80,6,8,569,6,15806,52,71,197,50,52,2634,7292,3628,59000,8870500,50528000,20411996,118000,12832750,49676000,24564376,3874304000,756000,26611500,52467000,36565198,3821081000,3821081000,3821081000,0,4,284,3,7903,1,3,0,0,424,320,3154675000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278611 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002341000,0,0,0,0,1000057000,1000780333,1001534000,738967,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:54.923603 +0000 UTC,192.168.0.192,49872,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,52000,6119400,26643000,11539589,57000,8920666,25798000,14622377,2766842000,777000,15298500,29820000,20536502,2736245000,2736245000,2736245000,0,3,262,2,3839,1,2,0,0,384,268,3842762000,0,Benign,req,wordpress,NA
