Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:38.252598 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1001129000,0,0,0,0,1001129000,1001129000,1001129000,0,1,196,0,0,0,0,0,0,392,0,0,0,NA,NA,NA,NA
2025-03-04 14:27:39.664755 +0000 UTC,192.168.0.165,37836,172.18.0.2,80,6,7,523,5,14174,52,74,203,56,52,2834,7292,3812,38000,8513600,39288000,17211227,1209000,13607000,38122000,21231077,2728831000,953000,21284000,41615000,28752375,2686263000,2686263000,2686263000,0,3,261,2,7087,1,2,0,0,372,268,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:42.390266 +0000 UTC,192.168.0.165,58974,172.18.0.2,80,6,7,517,4,705,52,73,197,54,52,176,541,243,13000,577600,1069000,516837,20000,530500,1041000,721956,2264669000,1069000,1444000,1819000,530330,2261781000,2261781000,2261781000,0,3,258,2,352,1,1,0,0,372,216,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:44.650658 +0000 UTC,192.168.0.165,58982,172.18.0.2,80,6,6,465,4,705,52,77,197,58,52,176,541,243,37000,971750,1546000,650275,785000,795000,805000,14142,4300225000,1158000,1943500,2729000,1110864,4296338000,4296338000,4296338000,0,3,232,2,352,1,1,0,0,320,216,2260392000,0,Benign,req,wordpress,NA
2025-03-04 14:27:48.913141 +0000 UTC,192.168.0.165,58998,172.18.0.2,80,6,8,599,6,21456,52,74,203,52,52,3576,7292,3863,39000,6142833,34066000,13685683,242000,8722000,32993000,16184621,4685370000,768000,18428500,36089000,24975718,4648513000,4648513000,4648513000,0,4,299,3,10728,1,3,0,0,448,320,4262483000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278442 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002660000,0,0,0,0,1000303000,1000886666,1001338000,530038,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.552552 +0000 UTC,192.168.0.165,35570,172.18.0.2,80,6,8,593,8,17363,52,74,197,49,52,2170,7292,3208,38000,7664166,41652000,16657973,776000,9632833,40767000,15953965,5060271000,12746000,29365500,45985000,23503522,5001540000,5001540000,5001540000,0,4,296,4,8681,1,3,0,0,448,424,4639411000,0,Benign,req,wordpress,NA
2025-03-04 14:27:58.565620 +0000 UTC,192.168.0.165,35584,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,34000,7070666,20799000,9379220,826000,10390250,20100000,10855990,9441823000,866000,27776666,42424000,23335784,4353313000,4679246500,5005180000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,5013068000,0,Benign,req,wordpress,NA
2025-03-04 14:27:59.737811 +0000 UTC,192.168.0.1,50012,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001294000,0,0,0,0,1000122000,1000431333,1000728000,303198,1,196,0,0,0,0,0,0,784,0,6459369000,0,Benign,req,wordpress,NA
2025-03-04 14:28:03.081667 +0000 UTC,192.168.0.165,58230,172.18.0.2,80,6,8,599,6,21465,52,74,203,52,52,3577,7292,3864,65000,6206166,33804000,13530248,83000,8840750,33031000,16135110,2379561000,849000,18618500,36388000,25129867,2342324000,2342324000,2342324000,0,4,299,3,10732,1,3,0,0,448,320,4516047000,0,Benign,req,wordpress,NA
