Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:36.250583 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003849000,0,0,0,0,1000349000,1001283000,1001855000,815654,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.356618 +0000 UTC,192.168.0.101,57664,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,43000,5780666,16624000,7480277,494000,8485250,17244000,9078556,17968863000,960000,25616000,41204000,21600147,5005162000,8946007500,12886853000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:38.917464 +0000 UTC,192.168.0.101,57678,172.18.0.2,80,6,8,569,6,15807,52,71,197,50,52,2634,7292,3628,6000,7171000,39505000,15850845,13000,10252750,38051000,18544973,3201853000,990000,21513000,42036000,29023904,3158827000,3158827000,3158827000,0,4,284,3,7903,1,3,0,0,424,320,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:42.078388 +0000 UTC,192.168.0.101,57686,172.18.0.2,80,6,9,645,7,23099,52,71,197,47,52,3299,7292,3751,24000,5806000,37511000,13988591,34000,7757800,36742000,16209295,4717189000,1000000,20321000,39642000,27324020,4676547000,4676547000,4676547000,0,4,322,3,11549,1,4,0,0,500,372,3160924000,0,Benign,req,wordpress,NA
2025-03-04 14:27:46.791402 +0000 UTC,192.168.0.101,36158,172.18.0.2,80,6,7,519,4,705,52,74,199,55,52,176,541,243,38000,1203200,1903000,723233,1436000,1542500,1649000,150613,2905647000,1903000,3008000,4113000,1562705,2899631000,2899631000,2899631000,0,3,259,2,352,1,1,0,0,372,216,4713014000,0,Benign,req,wordpress,NA
2025-03-04 14:27:49.668831 +0000 UTC,192.168.0.101,36172,172.18.0.2,80,6,7,525,5,7679,52,75,193,52,52,1535,7292,3218,35000,5319600,24158000,10542487,238000,8144666,23271000,13104291,2487776000,935000,13299000,25663000,17485336,2461178000,2461178000,2461178000,0,3,262,2,3839,1,2,0,0,384,268,2877429000,0,Benign,req,wordpress,NA
2025-03-04 14:27:52.104784 +0000 UTC,192.168.0.101,36182,172.18.0.2,80,6,8,599,6,21456,52,74,203,52,52,3576,7292,3863,56000,8454666,48166000,19457348,234000,12253500,46949000,23134416,2265416000,970000,25364000,49758000,34498325,2214688000,2214688000,2214688000,0,4,299,3,10728,1,3,0,0,448,320,2435953000,0,Benign,req,wordpress,NA
2025-03-04 14:27:53.278854 +0000 UTC,192.168.0.1,39335,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002074000,0,0,0,0,1000178000,1000691333,1001158000,491663,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:54.320572 +0000 UTC,192.168.0.101,39056,172.18.0.2,80,6,10,1039,7,6032,52,103,264,83,52,861,4687,1704,40000,6426857,22108000,9647584,252000,11018250,21331000,11805516,11454816000,1602000,29176000,44988000,23965490,5004808000,5683644000,6362480000,-9223372036854775808,3,346,2,2010,3,3,0,0,528,372,2215788000,0,Benign,req,wordpress,NA
2025-03-04 14:27:58.892557 +0000 UTC,192.168.0.101,39068,172.18.0.2,80,6,9,645,7,23102,52,71,197,47,52,3300,7292,3750,41000,5461428,33512000,12382469,142000,7156600,32703000,14286746,3453834000,1608000,19115000,36622000,24758636,3415604000,3415604000,3415604000,0,4,322,3,11551,1,4,0,0,500,372,4571985000,0,Benign,req,wordpress,NA
