Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:27:34.723739 +0000 UTC,192.168.0.200,53404,172.18.0.2,80,6,9,645,7,23098,52,71,197,47,52,3299,7292,3751,47000,6860857,44136000,16442481,87000,9173800,41059000,17861465,4656597000,991000,24013000,47035000,32558024,4608571000,4608571000,4608571000,0,4,322,3,11549,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:36.250839 +0000 UTC,192.168.0.1,41034,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003597000,0,0,0,0,1000792000,1001199000,1001901000,610523,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:39.376364 +0000 UTC,192.168.0.200,53418,172.18.0.2,80,6,6,462,4,705,52,77,194,57,52,176,541,243,33000,815250,1244000,534889,430000,641500,853000,299106,3302042000,999000,1630500,2262000,893075,3298781000,3298781000,3298781000,0,3,231,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-03-04 14:27:42.632460 +0000 UTC,192.168.0.200,52874,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,38000,6996833,22373000,9679543,835000,10313250,21141000,10934503,6550011000,845000,27635666,41981000,23220839,1462372000,3233552000,5004732000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,3256096000,0,Benign,req,wordpress,NA
2025-03-04 14:27:45.556366 +0000 UTC,192.168.0.200,52888,172.18.0.2,80,6,9,645,7,23098,52,71,197,47,52,3299,7292,3751,7000,5554428,34836000,12932339,10000,7396200,33225000,14465017,3626248000,1104000,19440500,37777000,25931726,3587367000,3587367000,3587367000,0,4,322,3,11549,1,4,0,0,500,372,2923906000,0,Benign,req,wordpress,NA
2025-03-04 14:28:00.737955 +0000 UTC,192.168.0.1,50012,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,999943000,999943000,999943000,0,0,0,0,0,2001387000,999943000,499971500,999943000,707066476,1001444000,1001444000,1001444000,0,1,294,0,0,0,0,0,0,588,0,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:02.137880 +0000 UTC,192.168.0.91,58168,172.18.0.2,80,6,10,1039,7,6032,52,103,264,83,52,861,4687,1704,43000,4986428,15778000,7305271,952000,8545000,18385000,8522742,12141213000,1057000,25401666,40243000,21251368,5004228000,6032504000,7060780000,-9223372036854775808,3,346,2,2010,3,3,0,0,528,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:04.777086 +0000 UTC,192.168.0.1,45278,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2000845000,0,0,0,0,1000138000,1000422500,1000707000,402343,1,196,0,0,0,0,0,0,588,0,4039131000,0,Benign,req,wordpress,NA
2025-03-04 14:28:05.664879 +0000 UTC,192.168.0.91,41192,172.18.0.2,80,6,9,645,7,23096,52,71,197,47,52,3299,7292,3751,19000,7498857,48957000,18287516,21000,10066000,48229000,21336141,4282184000,1397000,26246000,51095000,35141792,4229692000,4229692000,4229692000,0,4,322,3,11548,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-03-04 14:28:07.744425 +0000 UTC,192.168.0.1,57774,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001740000,0,0,0,0,1000406000,1000580000,1000920000,294475,1,196,0,0,0,0,0,0,784,0,2967339000,0,Benign,req,wordpress,NA
