Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-02-16 17:55:36.147448 +0000 UTC,192.168.0.81,46334,172.18.0.2,80,6,7,513,5,7630,52,73,193,52,52,1526,7292,3223,16000,4536400,20815000,9107013,226000,7017333,19658000,10957266,2928140000,822000,11341000,21860000,14876112,2905458000,2905458000,2905458000,0,3,256,2,3815,1,2,0,0,372,268,3746807000,0,Benign,req,wordpress,NA
2025-02-16 17:55:36.648843 +0000 UTC,192.168.0.1,58956,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999887000,999887000,999887000,0,0,0,0,0,3002978000,999887000,333295666,999887000,577285028,1000757000,1001545500,1002334000,1115107,1,261,0,0,0,0,0,0,784,0,2502259000,0,Benign,req,wordpress,NA
2025-02-16 17:55:39.036591 +0000 UTC,192.168.0.81,46336,172.18.0.2,80,6,8,569,6,15730,52,71,197,50,52,2621,7292,3635,32000,6506500,35487000,14209440,38000,9261000,34636000,16926939,4366897000,1139000,19519500,37900000,25993952,4327858000,4327858000,4327858000,0,4,284,3,7865,1,3,0,0,424,320,2889143000,0,Benign,req,wordpress,NA
2025-02-16 17:55:43.399147 +0000 UTC,192.168.0.81,57680,172.18.0.2,80,6,6,463,4,705,52,77,195,57,52,176,541,243,33000,901250,1620000,670475,797000,829000,861000,45254,3851069000,793000,1802500,2812000,1427648,3847464000,3847464000,3847464000,0,3,231,2,352,1,1,0,0,320,216,4362556000,0,Benign,req,wordpress,NA
2025-02-16 17:55:47.225262 +0000 UTC,192.168.0.81,57682,172.18.0.2,80,6,8,569,6,15736,52,71,197,50,52,2622,7292,3634,10000,4155000,20754000,8173278,15000,5766000,19279000,9056761,4391441000,995000,12465000,23935000,16221029,4366511000,4366511000,4366511000,0,4,284,3,7868,1,3,0,0,424,320,3826115000,0,Benign,req,wordpress,NA
2025-02-16 17:55:48.008552 +0000 UTC,192.168.0.1,47696,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001573000,0,0,0,0,1000474000,1000786500,1001099000,441941,1,196,0,0,0,0,0,0,588,0,11359709000,0,Benign,req,wordpress,NA
2025-02-16 17:55:50.153586 +0000 UTC,192.168.0.1,34963,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3015177000,0,0,0,0,1000138000,1005059000,1014450000,8135970,1,196,0,0,0,0,0,0,784,0,2145034000,0,Benign,req,wordpress,NA
2025-02-16 17:55:51.568587 +0000 UTC,192.168.0.81,58020,172.18.0.2,80,6,9,786,6,15097,52,87,210,67,52,2516,7292,3659,45000,6696428,28513000,11089415,127000,11319750,29740000,13942845,3157269000,775000,23437500,46100000,32049614,3110394000,3110394000,3110394000,0,4,393,3,7548,2,3,0,0,476,320,4343325000,0,Benign,req,wordpress,NA
2025-02-16 17:55:54.721453 +0000 UTC,192.168.0.81,58022,172.18.0.2,80,6,6,463,4,705,52,77,195,57,52,176,541,243,25000,1205750,2298000,976971,1163000,1165000,1167000,2828,3756712000,1619000,2411500,3204000,1120764,3751889000,3751889000,3751889000,0,3,231,2,352,1,1,0,0,320,216,3152866000,0,Benign,req,wordpress,NA
2025-02-16 17:55:56.233098 +0000 UTC,192.168.0.1,41265,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003453000,0,0,0,0,1000222000,1001151000,1002116000,947513,1,196,0,0,0,0,0,0,784,0,6079512000,0,Benign,req,wordpress,NA
